location;Basel;Basel;Basel
lat;47,546944;47,546944;47,546944
lon;7,568918;7,568918;7,568918
asl;283,69672;283,69672;283,69672
variable;Temperature;Precipitation Total;Soil Moisture
unit;°C;mm;m³/m³
level;2 m elevation corrected;sfc;0-10 cm down
resolution;hourly;hourly;hourly
aggregation;None;None;None
timestamp;Basel Temperature [2 m elevation corrected];Basel Precipitation Total;Basel Soil Moisture [0-10 cm down]
2018-12-31T00:00:00;4,1805286;0;0,279
2018-12-31T01:00:00;4,3805285;0;0,279
2018-12-31T02:00:00;4,5005283;0;0,278
2018-12-31T03:00:00;4,6805286;0;0,278
2018-12-31T04:00:00;4,6905284;0;0,278
2018-12-31T05:00:00;4,9705286;0;0,278
2018-12-31T06:00:00;5,4005284;0;0,278
2018-12-31T07:00:00;5,7705283;0;0,278
2018-12-31T08:00:00;5,9105287;0;0,278
2018-12-31T09:00:00;6,7405286;0;0,278
2018-12-31T10:00:00;7,3905287;0;0,278
2018-12-31T11:00:00;7,9105287;0;0,277
2018-12-31T12:00:00;6,8805285;0;0,281
2018-12-31T13:00:00;6,9705286;0;0,281
2018-12-31T14:00:00;7,1605287;0;0,281
2018-12-31T15:00:00;7,040529;0;0,28
2018-12-31T16:00:00;6,5705285;0;0,28
2018-12-31T17:00:00;6,2605286;0;0,28
2018-12-31T18:00:00;5,9005284;0;0,28
2018-12-31T19:00:00;5,5905285;0;0,28
2018-12-31T20:00:00;5,4505286;0;0,28
2018-12-31T21:00:00;5,2705283;0;0,28
2018-12-31T22:00:00;5,1505284;0;0,28
2018-12-31T23:00:00;5,0505285;0;0,279
2019-01-01T00:00:00;4,9005284;0;0,279
2019-01-01T01:00:00;4,8105288;0;0,279
2019-01-01T02:00:00;4,7305284;0;0,279
2019-01-01T03:00:00;4,6005287;0;0,279
2019-01-01T04:00:00;4,5805287;0;0,279
2019-01-01T05:00:00;4,5605288;0;0,279
2019-01-01T06:00:00;4,4905286;0;0,278
2019-01-01T07:00:00;4,3305287;0;0,278
2019-01-01T08:00:00;4,2405286;0;0,278
2019-01-01T09:00:00;4,7105284;0;0,278
2019-01-01T10:00:00;5,4805284;0;0,278
2019-01-01T11:00:00;6,1405287;0;0,277
2019-01-01T12:00:00;6,5205283;0;0,273
2019-01-01T13:00:00;7,1005287;0;0,273
2019-01-01T14:00:00;6,0105286;0;0,273
2019-01-01T15:00:00;5,4605284;0;0,273
2019-01-01T16:00:00;4,7205286;0;0,273
2019-01-01T17:00:00;3,9605286;0;0,273
2019-01-01T18:00:00;4,0805287;0;0,273
2019-01-01T19:00:00;3,9805286;0;0,274
2019-01-01T20:00:00;3,9805286;0;0,274
2019-01-01T21:00:00;3,8705285;0,3;0,277
2019-01-01T22:00:00;3,8405285;0,1;0,277
2019-01-01T23:00:00;3,7505286;0;0,277
2019-01-02T00:00:00;3,5905285;0;0,277
2019-01-02T01:00:00;3,4705286;0;0,277
2019-01-02T02:00:00;3,1905286;0;0,277
2019-01-02T03:00:00;1,6705287;0;0,277
2019-01-02T04:00:00;1,0005287;0;0,277
2019-01-02T05:00:00;0,53052866;0;0,277
2019-01-02T06:00:00;0,28052866;0;0,277
2019-01-02T07:00:00;0,28052866;0;0,277
2019-01-02T08:00:00;1,0605286;0;0,276
2019-01-02T09:00:00;1,6205287;0;0,276
2019-01-02T10:00:00;2,3805285;0;0,276
2019-01-02T11:00:00;3,0405285;0;0,276
2019-01-02T12:00:00;4,1805286;0;0,273
2019-01-02T13:00:00;4,5505285;0;0,273
2019-01-02T14:00:00;4,3205285;0;0,272
2019-01-02T15:00:00;4,1705284;0;0,272
2019-01-02T16:00:00;3,6905286;0;0,272
2019-01-02T17:00:00;2,2105286;0;0,272
2019-01-02T18:00:00;1,6305287;0;0,272
2019-01-02T19:00:00;0,93052864;0;0,272
2019-01-02T20:00:00;0,6905287;0;0,272
2019-01-02T21:00:00;0,22052866;0;0,272
2019-01-02T22:00:00;0,08052866;0;0,272
2019-01-02T23:00:00;-0,27947134;0;0,272
2019-01-03T00:00:00;-0,6194713;0;0,272
2019-01-03T01:00:00;-0,6694713;0;0,272
2019-01-03T02:00:00;-0,7994713;0;0,272
2019-01-03T03:00:00;-1,0994713;0;0,272
2019-01-03T04:00:00;-1,2394713;0;0,272
2019-01-03T05:00:00;-1,3594713;0;0,272
2019-01-03T06:00:00;-1,4994713;0;0,272
2019-01-03T07:00:00;-1,6494713;0;0,272
2019-01-03T08:00:00;-1,5594714;0;0,272
2019-01-03T09:00:00;-0,6794713;0;0,272
2019-01-03T10:00:00;0,14052865;0;0,272
2019-01-03T11:00:00;0,6305287;0;0,271
2019-01-03T12:00:00;1,5705286;0;0,272
2019-01-03T13:00:00;2,3105285;0;0,272
2019-01-03T14:00:00;2,7205286;0;0,272
2019-01-03T15:00:00;2,2205286;0;0,272
2019-01-03T16:00:00;1,5405287;0;0,272
2019-01-03T17:00:00;0,6305287;0;0,272
2019-01-03T18:00:00;0,10052866;0;0,272
2019-01-03T19:00:00;0,40052867;0;0,272
2019-01-03T20:00:00;0,15052865;0;0,272
2019-01-03T21:00:00;0,08052866;0;0,272
2019-01-03T22:00:00;0,21052867;0;0,272
2019-01-03T23:00:00;0,23052865;0;0,272
2019-01-04T00:00:00;-0,21947134;0;0,272
2019-01-04T01:00:00;-0,019471344;0;0,272
2019-01-04T02:00:00;0,36052868;0;0,272
2019-01-04T03:00:00;-0,38947132;0;0,272
2019-01-04T04:00:00;-1,0094713;0;0,272
2019-01-04T05:00:00;-1,1794714;0;0,272
2019-01-04T06:00:00;-1,4894713;0;0,272
2019-01-04T07:00:00;-1,4994713;0;0,272
2019-01-04T08:00:00;-0,95947134;0;0,272
2019-01-04T09:00:00;-0,17947134;0;0,272
2019-01-04T10:00:00;1,4105287;0;0,272
2019-01-04T11:00:00;2,0505285;0;0,272
2019-01-04T12:00:00;4,1705284;0;0,274
2019-01-04T13:00:00;4,7405286;0;0,274
2019-01-04T14:00:00;4,1705284;0;0,274
2019-01-04T15:00:00;3,7705286;0;0,273
2019-01-04T16:00:00;3,2205286;0;0,273
2019-01-04T17:00:00;2,4905286;0;0,272
2019-01-04T18:00:00;2,3805285;0;0,272
2019-01-04T19:00:00;1,6305287;0;0,272
2019-01-04T20:00:00;1,1705287;0;0,272
2019-01-04T21:00:00;1,5905286;0;0,272
2019-01-04T22:00:00;2,1105285;0;0,272
2019-01-04T23:00:00;1,9105287;0;0,272
2019-01-05T00:00:00;1,3905287;0;0,272
2019-01-05T01:00:00;1,2105286;0;0,272
2019-01-05T02:00:00;1,1005287;0;0,271
2019-01-05T03:00:00;0,44052866;0;0,271
2019-01-05T04:00:00;0,26052865;0;0,271
2019-01-05T05:00:00;0,31052867;0;0,271
2019-01-05T06:00:00;0,38052866;0;0,271
2019-01-05T07:00:00;0,47052866;0;0,271
2019-01-05T08:00:00;0,8305287;0;0,271
2019-01-05T09:00:00;1,6705287;0;0,271
2019-01-05T10:00:00;2,5005286;0;0,271
2019-01-05T11:00:00;2,8505285;0;0,271
2019-01-05T12:00:00;2,4405286;0;0,277
2019-01-05T13:00:00;2,7305286;0,1;0,278
2019-01-05T14:00:00;2,8305285;0;0,278
2019-01-05T15:00:00;2,8605285;0;0,278
2019-01-05T16:00:00;2,4005284;0,2;0,279
2019-01-05T17:00:00;2,3905284;0,5;0,282
2019-01-05T18:00:00;2,5605285;0,5;0,286
2019-01-05T19:00:00;2,7805285;0,3;0,288
2019-01-05T20:00:00;2,9305286;0,2;0,288
