Caller,Time
StartRecord,296238765
GenerateGraph,2358976
GenerateTriangles,819171
GenerateColorArray,268918
GenerateUV,110684947
SpawnPlants,9045625
SpawnObjects,25293
StartRecord,296573250
GenerateGraph,2570221
GenerateTriangles,1430171
GenerateColorArray,269835
GenerateUV,143851189
SpawnPlants,4145042
SpawnObjects,38220
StartRecord,296704875
GenerateGraph,2406385
GenerateTriangles,844192
GenerateColorArray,765842
GenerateUV,117579058
SpawnPlants,3468861
SpawnObjects,28452
StartRecord,443061515
GenerateGraph,2094710
GenerateTriangles,1234460
GenerateColorArray,254394
GenerateUV,100416459
SpawnPlants,3299281
SpawnObjects,29553
StartRecord,443918468
GenerateGraph,2232245
GenerateTriangles,1171900
GenerateColorArray,256113
GenerateUV,82658998
SpawnPlants,3445869
SpawnObjects,27962
StartRecord,276497125
GenerateGraph,2074642
GenerateTriangles,1216170
GenerateColorArray,254304
GenerateUV,88416823
SpawnPlants,3627765
SpawnObjects,25041
StartRecord,281126781
GenerateGraph,2187462
GenerateTriangles,815916
GenerateColorArray,258052
GenerateUV,87201284
SpawnPlants,3289176
SpawnObjects,27057
StartRecord,281286109
GenerateGraph,2217925
GenerateTriangles,840267
GenerateColorArray,696710
GenerateUV,109602470
SpawnPlants,3271871
SpawnObjects,27790
StartRecord,282524562
GenerateGraph,2234018
GenerateTriangles,818080
GenerateColorArray,725783
GenerateUV,101452185
SpawnPlants,3108989
SpawnObjects,20402
StartRecord,282631453
GenerateGraph,2298769
GenerateTriangles,800576
GenerateColorArray,776739
GenerateUV,102734569
SpawnPlants,3049450
SpawnObjects,26961
CalcWater,15775218
StartRecord,282783343
GenerateGraph,2331419
GenerateTriangles,810235
GenerateColorArray,703454
GenerateUV,101349291
SpawnPlants,3112590
SpawnObjects,26669
StartRecord,521988703
GenerateGraph,2156367
GenerateTriangles,1321501
GenerateColorArray,256511
GenerateUV,109547027
SpawnPlants,3646030
SpawnObjects,24898
StartRecord,522931312
GenerateGraph,1767386
GenerateTriangles,1212885
GenerateColorArray,256952
GenerateUV,96736143
SpawnPlants,3084875
SpawnObjects,26927
StartRecord,523012468
GenerateGraph,1807543
GenerateTriangles,1455349
GenerateColorArray,256464
GenerateUV,97631130
SpawnPlants,3022403
SpawnObjects,28569
StartRecord,523107250
GenerateGraph,2128014
GenerateTriangles,782361
GenerateColorArray,271939
GenerateUV,97118851
SpawnPlants,2999729
SpawnObjects,27149
StartRecord,523571546
GenerateGraph,2153930
GenerateTriangles,749399
GenerateColorArray,666444
GenerateUV,93676750
SpawnPlants,3052618
SpawnObjects,20796
StartRecord,523668312
GenerateGraph,1804150
GenerateTriangles,1407748
GenerateColorArray,255676
GenerateUV,108281393
SpawnPlants,3084942
SpawnObjects,20040
CalcWater,15641332
CalcWater,15613839
StartRecord,824709781
GenerateGraph,1880793
GenerateTriangles,1484850
GenerateColorArray,264501
GenerateUV,106335302
SpawnPlants,5763563
SpawnObjects,26979
StartRecord,824879734
GenerateGraph,2015499
GenerateTriangles,1029074
GenerateColorArray,318555
GenerateUV,124965113
SpawnPlants,4901237
SpawnObjects,27126
StartRecord,847763812
GenerateGraph,1766750
GenerateTriangles,792864
GenerateColorArray,267962
GenerateUV,38540583
SpawnPlants,4870670
SpawnObjects,24280
StartRecord,847794625
GenerateGraph,1799304
GenerateTriangles,858249
GenerateColorArray,253406
GenerateUV,32149155
SpawnPlants,4584234
SpawnObjects,26525
StartRecord,847858531
GenerateGraph,1773463
GenerateTriangles,790832
GenerateColorArray,263685
GenerateUV,92399935
SpawnPlants,4649780
SpawnObjects,22832
StartRecord,848789343
GenerateGraph,1825567
GenerateTriangles,829563
GenerateColorArray,263747
GenerateUV,43418087
SpawnPlants,4618032
SpawnObjects,23995
StartRecord,848959015
GenerateGraph,1989273
GenerateTriangles,886564
GenerateColorArray,266784
GenerateUV,105570310
SpawnPlants,5343918
SpawnObjects,23939
StartRecord,848993921
GenerateGraph,1987266
GenerateTriangles,881610
GenerateColorArray,410057
GenerateUV,44676954
SpawnPlants,5161329
SpawnObjects,26232
StartRecord,849078265
GenerateGraph,2073086
GenerateTriangles,804511
GenerateColorArray,263534
GenerateUV,28778494
SpawnPlants,4754419
SpawnObjects,25764
StartRecord,849286984
GenerateGraph,1823517
GenerateTriangles,809293
GenerateColorArray,790432
GenerateUV,94525010
SpawnPlants,4608635
SpawnObjects,25212
StartRecord,851208062
GenerateGraph,1757811
GenerateTriangles,743689
GenerateColorArray,261047
GenerateUV,36199400
SpawnPlants,4619039
SpawnObjects,25159
StartRecord,851267718
GenerateGraph,1729292
GenerateTriangles,786894
GenerateColorArray,263919
GenerateUV,112894774
SpawnPlants,4550732
SpawnObjects,25633
StartRecord,998265000
GenerateGraph,1785966
GenerateTriangles,824150
GenerateColorArray,258002
GenerateUV,33941235
SpawnPlants,5311765
SpawnObjects,22885
StartRecord,1035425875
GenerateGraph,2026353
GenerateTriangles,821577
GenerateColorArray,267378
GenerateUV,47249616
SpawnPlants,5760790
SpawnObjects,26582
StartRecord,1035701406
GenerateGraph,1807131
GenerateTriangles,802646
GenerateColorArray,263529
GenerateUV,44242500
SpawnPlants,4693540
SpawnObjects,23927
StartRecord,1035957750
GenerateGraph,2340796
GenerateTriangles,833416
GenerateColorArray,270404
GenerateUV,41265982
SpawnPlants,4809833
SpawnObjects,27620
StartRecord,1036084468
GenerateGraph,2344557
GenerateTriangles,802241
GenerateColorArray,265502
GenerateUV,35248225
SpawnPlants,4616448
SpawnObjects,23730
StartRecord,1036160937
GenerateGraph,1839103
GenerateTriangles,820773
GenerateColorArray,263575
GenerateUV,40675368
SpawnPlants,4624446
SpawnObjects,27672
StartRecord,1036264625
GenerateGraph,1830912
GenerateTriangles,830420
GenerateColorArray,265026
GenerateUV,35584470
SpawnPlants,4624815
SpawnObjects,27689
StartRecord,1036474187
GenerateGraph,1768537
GenerateTriangles,777102
GenerateColorArray,259877
GenerateUV,49272435
SpawnPlants,4600981
SpawnObjects,25826
StartRecord,1107069250
GenerateGraph,1806015
GenerateTriangles,811473
GenerateColorArray,259261
GenerateUV,36219582
SpawnPlants,5302568
SpawnObjects,26179
StartRecord,1108366078
GenerateGraph,1805360
