Caller,Time
StartRecord,296238765
HandleAgents,14497
HandleAgents,2559
HandleAgents,2525
StartRecord,296573250
HandleAgents,12101
HandleAgents,919
HandleAgents,1344
HandleAgents,812
HandleAgents,2116
HandleAgents,2482
HandleAgents,2016
HandleAgents,985
HandleAgents,866
HandleAgents,912
StartRecord,296704875
HandleAgents,17819
HandleAgents,3267
HandleAgents,3077
HandleAgents,3090
HandleAgents,2758
HandleAgents,4017
HandleAgents,2696
HandleAgents,2811
StartRecord,443061515
HandleAgents,10550
StartRecord,443918484
HandleAgents,10229
HandleAgents,2748
HandleAgents,2436
HandleAgents,2325
HandleAgents,2100
StartRecord,276497125
HandleAgents,10906
HandleAgents,871
HandleAgents,813
HandleAgents,837
HandleAgents,837
HandleAgents,801
HandleAgents,798
HandleAgents,768
HandleAgents,821
HandleAgents,830
StartRecord,281126781
HandleAgents,10634
HandleAgents,1557
HandleAgents,1551
StartRecord,281286109
HandleAgents,11100
HandleAgents,1471
HandleAgents,1242
HandleAgents,1235
HandleAgents,1451
HandleAgents,1685
StartRecord,282524562
HandleAgents,9290
HandleAgents,701
HandleAgents,678
StartRecord,282631453
HandleAgents,10005
HandleAgents,872
HandleAgents,880
HandleAgents,899
HandleAgents,891
HandleAgents,1853
HandleAgents,1587
HandleAgents,1674
HandleAgents,1598
HandleAgents,1632
HandleAgents,1554
HandleAgents,922
HandleAgents,872
HandleAgents,864
StartRecord,282783343
HandleAgents,9481
HandleAgents,802
HandleAgents,932
HandleAgents,774
HandleAgents,749
StartRecord,521988703
HandleAgents,10277
HandleAgents,1317
HandleAgents,1313
HandleAgents,1190
HandleAgents,1168
HandleAgents,1198
HandleAgents,1198
HandleAgents,2058
HandleAgents,2047
HandleAgents,1822
HandleAgents,1151
HandleAgents,1305
StartRecord,522931328
HandleAgents,10045
HandleAgents,1099
HandleAgents,1027
HandleAgents,1050
HandleAgents,1203
HandleAgents,1044
HandleAgents,1087
HandleAgents,1082
StartRecord,523012468
HandleAgents,11738
HandleAgents,812
HandleAgents,826
HandleAgents,801
HandleAgents,750
HandleAgents,822
HandleAgents,785
HandleAgents,795
StartRecord,523107265
HandleAgents,10529
HandleAgents,1454
HandleAgents,933
HandleAgents,901
HandleAgents,1055
HandleAgents,925
HandleAgents,958
HandleAgents,924
HandleAgents,963
HandleAgents,937
HandleAgents,910
HandleAgents,913
HandleAgents,882
StartRecord,523571562
HandleAgents,10052
HandleAgents,906
HandleAgents,830
HandleAgents,866
HandleAgents,830
HandleAgents,845
HandleAgents,830
HandleAgents,833
HandleAgents,785
StartRecord,523668312
HandleAgents,11890
HandleAgents,1751
HandleAgents,1900
HandleAgents,1696
HandleAgents,1686
HandleAgents,1736
HandleAgents,1592
HandleAgents,1613
HandleAgents,1598
HandleAgents,2817
HandleAgents,1720
HandleAgents,1630
HandleAgents,1603
HandleAgents,1569
HandleAgents,1640
HandleAgents,1712
HandleAgents,1618
HandleAgents,1636
HandleAgents,1543
HandleAgents,1543
HandleAgents,1562
HandleAgents,1667
HandleAgents,1683
HandleAgents,1604
HandleAgents,1629
HandleAgents,1363
HandleAgents,1652
HandleAgents,1612
HandleAgents,1566
HandleAgents,1597
HandleAgents,1569
HandleAgents,1730
HandleAgents,1643
HandleAgents,1476
HandleAgents,1556
HandleAgents,2297
HandleAgents,1973
StartRecord,824709781
HandleAgents,12089
HandleAgents,871
HandleAgents,792
HandleAgents,796
HandleAgents,810
HandleAgents,854
HandleAgents,820
HandleAgents,813
StartRecord,824879734
